timestamp,procs,samples_total,pi_est,tempo_s,throughput_pts_s
2025-09-19T17:56:22,4,4000000,3.13946200,0.046386,86232908.61
2025-09-19T17:56:56,1,500000,3.14235200,0.031955,15646768.28
2025-09-19T17:56:57,2,1000000,3.14198000,0.021807,45857430.25
2025-09-19T17:56:57,4,2000000,3.14041800,0.024073,83081847.71
2025-09-24T19:36:17,4,4000000,3.13946200,0.077504,51610134.25
